original_parquet_row_index,label,premise,hypothesis,gemma-3-4b-it,bloomz-1b7,llama-3.1-70b-it,Mistral-7B-Instruct
563,neutral,Boys with their backs against an incoming wave.,A group of people sit on the beach.,entailment,contradiction,neutral,neutral
291,entailment,The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The football player is under duress.,entailment,contradiction,entailment,neutral
4716,contradiction,"Coach talks with football player, other players and crowd in background.",A football player is climbing into the stands at a game,neutral,contradiction,neutral,neutral
7708,entailment,A woman wears a robe and bikini with heels as she stands on stage next to a flower pot.,A woman is standing next to a flower pot.,entailment,contradiction,entailment,neutral
6349,entailment,"Woman wearing green pants, blue jacket and sunhat carrying food in baskets that are hung over her shoulder.",They walk along carrying a bounty of food,entailment,contradiction,entailment,neutral
169,contradiction,The girls walk down the street.,Girls set down in the street.,neutral,contradiction,neutral,contradiction
267,contradiction,A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,the man is asian,contradiction,contradiction,contradiction,neutral
4638,contradiction,Families with strollers waiting in front of a carousel.,Families have some dogs in front of a carousel,contradiction,contradiction,neutral,contradiction
7077,entailment,A man in summer clothing skiing on thin snow.,There is a man on skis.,entailment,contradiction,entailment,neutral
3355,contradiction,A man standing in a cubicle with a chair that has a black Ginobili jersey on it.,A man is wearing a white sport jersey in his cubicle.,contradiction,contradiction,neutral,neutral
8279,entailment,A woman wearing a gray sweater stands in the street near a green pole.,A person wearing a sweating in a street,neutral,contradiction,neutral,neutral
315,contradiction,A man in an Alaska sweatshirt stands behind a counter.,The man is wearing a tank top.,contradiction,contradiction,contradiction,neutral
6728,neutral,A dog jumps to catch a red ball outside.,the dog is at the beach,contradiction,contradiction,neutral,neutral
9495,contradiction,Boy sitting looking through a glass window at a train station.,A little boy is walking out of the train.,neutral,contradiction,neutral,neutral
4067,neutral,A boy dressed in a dark shirt carries a blue bag over his shoulder and a green pail.,A boy is walking to the beach.,entailment,contradiction,entailment,neutral
245,entailment,The girl wearing a brown jacket whilst walking in snow.,The girl is walking outside.,entailment,contradiction,entailment,neutral
252,neutral,Four adults eat while sitting on a tile floor.,Two couples eat food on a kitchen floor.,entailment,contradiction,entailment,neutral
1111,entailment,A woman teaching a ballet class composed of small children holding colourful scarves.,A woman is teaching a ballet class.,entailment,contradiction,entailment,neutral
4801,entailment,Two mountaineers are walking across a snowcapped mountain.,Two mountaineers walking on a mountain.,entailment,entailment,entailment,neutral
1713,contradiction,"A young middle eastern mother in high heels, holding her young child as he lays his head on her shoulder asleep, is gazing out the window.",A woman holding her sleeping son while walking down the street.,neutral,contradiction,neutral,neutral
50,contradiction,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,The boy is sitting on the school bus on his way home.,contradiction,contradiction,contradiction,neutral
1835,neutral,A male windsurfer surfing on some blue waves with his yellow surfboard and red and white sail it looks as though he is about to fall into the water because he is suspended in the air sideways.,A windsurfer realizes his trick has gone wrong and he is going to crash.,entailment,contradiction,entailment,neutral
7896,contradiction,A woman is taking a picture on the shoulders of another woman in cold weather.,A man is running errands on his bike.,contradiction,contradiction,neutral,neutral
3383,contradiction,A boy is being splashed in a swimming pool.,A boy is splashing others at the beach.,contradiction,contradiction,neutral,neutral
6410,contradiction,A robed dancer holding fire stick entertains a crowd.,A man in pants and a t-shirt doing fire tricks.,neutral,contradiction,neutral,neutral
4313,entailment,A man in tribal dress is walking down the street while spectators are standing behind red and white barrier tape.,A man walks down the street with other people around,entailment,contradiction,entailment,neutral
872,entailment,Several women wearing dresses dance in the forest.,there are several women,entailment,contradiction,entailment,neutral
1254,entailment,a young man wearing dark sunglasses smiling,A guy is wearing sunglasses.,entailment,contradiction,entailment,neutral
8881,neutral,Several people including a child and a clown are walking towards a snowy sidewalk,Many people walk to the sidewalk to avoid traffic.,neutral,contradiction,neutral,neutral
5851,neutral,Three men dancing as a group of people watch.,three men are a dancer,neutral,contradiction,neutral,neutral
5702,neutral,A girl bounces in a bounce house.,A girl is bouncing alongside with another girl.,neutral,contradiction,neutral,neutral
8103,entailment,A woman is carrying two children in the middle of a large crowd.,a woman carries children,entailment,contradiction,entailment,neutral
2098,entailment,A man in a gray sweatshirt using a power saw.,the guy in the sweatshirt uses the power saw,entailment,contradiction,entailment,entailment
5128,entailment,A young african boy skipping rocks.,There's a young boy with rocks in hand.,entailment,contradiction,entailment,neutral
248,contradiction,"A man, woman, and child get their picture taken in front of the mountains.",A family is in their car.,neutral,contradiction,neutral,neutral
6561,contradiction,A gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars.,the gymnast is taking a shower,contradiction,contradiction,contradiction,contradiction
1339,neutral,A lone person is walking in front of a white building.,A person walks outside with an umbrella in his hand.,neutral,contradiction,neutral,neutral
7017,contradiction,GEntleman sketching on brown paper at Christmas.,The woman drew on canvas.,contradiction,contradiction,neutral,neutral
2110,entailment,Three women are dressed in ninja costumes.,There are multiple people present.,entailment,contradiction,entailment,neutral
1569,contradiction,A man shows off his spider-web face paint.,The little girl asks her father to pick her up.,neutral,contradiction,neutral,neutral
1726,entailment,A blond woman in a white shirt demonstrates her talents to a crowd.,The woman is a street performer.,entailment,contradiction,neutral,neutral
8384,entailment,Two men in black pants and black shirts practice martial arts on a green gym floor.,Two men practicing martial arts.,entailment,contradiction,entailment,neutral
6940,contradiction,Birds flying above the rolling waves of the ocean.,A man fishing at a harbor.,neutral,contradiction,neutral,neutral
4395,neutral,man in blue shirt sitting on the side of the road with a wheelbarrow of vegetables,A man sells fresh corn on the side of the road.,entailment,contradiction,neutral,neutral
2420,neutral,A father and son are in a field of yellow flowers.,People are picking flowers.,entailment,entailment,neutral,neutral
3045,entailment,A middle-aged woman in a light brown trench coat and black boots walks on the sidewalk past a shop entrance.,The middle-aged woman is outdoors.,entailment,contradiction,entailment,neutral
5503,entailment,a brown dog with a yellow toy in his mouth is jumping off the grassy ground,A dog is playing in the grass.,entailment,contradiction,entailment,neutral
3703,neutral,Children play in a shallow pool next to a large image of a girl's face.,The children can all swim.,neutral,contradiction,neutral,neutral
8191,entailment,"Phone to her ear, a woman bends forward at the side of a busy street.","Phone to her ear, a woman bends forward",entailment,contradiction,entailment,neutral
5331,entailment,A middle-aged man in a green jacket is talking to another middle-aged man in a light blue tee-shirt.,Older man with green jacket conversing with another man.,entailment,entailment,entailment,neutral
9808,entailment,Two ladies one with her fingers in her pocket and the other with a drink in her hand at a party.,Two people are at a party.,entailment,contradiction,entailment,neutral
447,contradiction,Four people and a baby are crossing the street at a crosswalk.,People and a baby riding the bus.,neutral,contradiction,neutral,neutral
7894,entailment,A woman is taking a picture on the shoulders of another woman in cold weather.,A woman is taking a picture in cold weather.,entailment,contradiction,neutral,neutral
8728,contradiction,A well dressed elderly woman standing in front of a bus decorated with images of purple flowers.,There is a group of boys standing around looking at a sports car.,contradiction,contradiction,neutral,contradiction
7828,entailment,The basketball is in the hands of the guy with the red shirts the others are trying to steal the ball to score for their team,a guy with a basketball,entailment,contradiction,entailment,neutral
1768,neutral,A woman is lying on her stomach on a white pillow and crying.,A woman cries because her husband left.,neutral,contradiction,neutral,neutral
6808,neutral,Man with tattoo is lying down in the sand next to a cow.,The man is at a farm.,entailment,contradiction,neutral,neutral
4704,entailment,Group of people standing and sitting in a field of grass.,The people are outside,entailment,entailment,entailment,neutral
3869,neutral,"A smiling man with gray hair and glasses, dressed in black, is sitting in a chair with a music stand in front of him.",This elderly man is nearsighted.,neutral,contradiction,neutral,neutral
1655,entailment,A child stands in a shower with clothes on.,A clothed child is in the shower,entailment,entailment,entailment,neutral
3187,neutral,"An older, barefoot boy is talking to a younger, shirtless boy in flip flips in the middle of the street.",An older brother is talking to his younger brother in the middle of the street.,entailment,entailment,entailment,neutral
683,contradiction,A child is sticking her head out of the 0095 taxi cab and screaming.,"A child is at home, resting.",contradiction,contradiction,contradiction,contradiction
4170,neutral,Two people are riding bicycles next to a building.,Two people are riding red bicycles next to a building.,contradiction,contradiction,neutral,neutral
4477,neutral,A man in dress pants and a blue dress shirt is walking in the shadows of nature.,a man walking around in nature because he's lost,neutral,contradiction,neutral,neutral
461,contradiction,Several men at a bar watch a sports game on the television.,The men are at a baseball game.,neutral,contradiction,neutral,neutral
5764,neutral,A small group of people wait to board an MTA bus.,A small group of people wait to board a bus on a city street.,entailment,contradiction,entailment,neutral
7522,neutral,A man wearing a hat sitting on the side of a hill looking towards the water.,The man is watching boats pass by while sitting on the hill.,entailment,contradiction,entailment,neutral
4502,entailment,"A man wearing red ski pants, a black jacket, and a white helmet is skiing down a mountain.",The man is outdoors.,entailment,contradiction,entailment,entailment
9709,contradiction,A girl wearing black is riding a giant unicycle on the beach.,The woman is naked,contradiction,contradiction,contradiction,contradiction
318,contradiction,A large group of people walking in a busy city at night.,People are eating lunch in a restaurant.,neutral,contradiction,neutral,contradiction
1145,entailment,A woman with short blond-hair rises from a chair as another woman in a burgundy shirt laughs.,A woman rises from a chair,entailment,contradiction,entailment,neutral
5094,neutral,Man walking a small pug.,The man is a mailman.,neutral,contradiction,neutral,neutral
1393,contradiction,"Two dogs, the gray poodle high in the air, play on the grass.",The animals are lying on the bed.,contradiction,contradiction,contradiction,contradiction
6623,neutral,A little kid in a blue helmet is riding a bike with training wheels on it down a pebbled grassy trail.,A kid in a helmet rides a bike with training wheels down to the park.,entailment,entailment,neutral,neutral
1501,neutral,Military personnel are shopping,Military personnel are buying groceries.,entailment,contradiction,entailment,neutral
6408,contradiction,A bundled up toddler is walking over snow.,A toddler walking in sand.,contradiction,contradiction,neutral,contradiction
376,contradiction,Everyone on the street in the city seem to be busy doing their own thing.,The people are watching what is happening.,neutral,contradiction,neutral,neutral
410,entailment,A man in a one piece tunic is riding a bike in front of a sandstone wall while touching his nose.,The man is riding a bike.,entailment,contradiction,entailment,neutral
1660,entailment,Two men cool off under a waterfall.,Two men are under a waterfall.,entailment,contradiction,entailment,neutral
3151,entailment,"A girl reaches up to kiss a cat, which is sitting on the counter.",A girl is showing affection towards a cat.,entailment,entailment,entailment,entailment
1623,neutral,Two children are swimming in a pool.,Two kids are in a swimming race.,neutral,contradiction,neutral,neutral
5609,entailment,pedestrian walking on the street,A person walking on the street outside.,entailment,entailment,entailment,neutral
8532,neutral,Two old women sitting on curb next to flowers,Two old women sat near the scenery that they enjoyed,entailment,contradiction,entailment,neutral
5802,,"It looks like quite a sweaty, smelly dog pile over one little rugby ball, but the boys in blue seem to want it more.",A rugby ball fell through dog poop,entailment,contradiction,neutral,neutral
5306,entailment,A boy plays with a motorized car next to a dirty street lined with real cars.,a boy played in the streets with his motorized car.,entailment,contradiction,entailment,neutral
7086,contradiction,People in chairs around a table,The people are climbing a mountain.,contradiction,contradiction,contradiction,neutral
8897,entailment,An older caucasian couple is having their picture taken by a stone statue of a man and woman kissing.,The couple standing by a statue are having their picture taken.,entailment,contradiction,entailment,neutral
7488,entailment,"A woman in a blue uniform, with long curly red-hair, looking at her horse before the race.",The horse has four legs,entailment,contradiction,neutral,neutral
9615,contradiction,A man in suit waiting for the green light.,A man ran a red light.,contradiction,contradiction,contradiction,neutral
9217,contradiction,a green and white trolley car with an advertisement of coffee on the side and front of it in a city.,A taxi cab with two women in the backseat talking on their cellphones.,contradiction,contradiction,neutral,neutral
1672,entailment,An Asian young woman wearing a white shirt and black pants is holding a pink purse.,The woman is holding a purse.,entailment,contradiction,entailment,entailment
2358,contradiction,"Three men dressed in white shirts and white hats, (two with baseball caps, the leader with a white construction helmet), pounding sticks on steel and plastic drums.",Three women play the drums,contradiction,contradiction,contradiction,contradiction
8467,contradiction,A woman wearing a red work man's hat and red jacket is hiking in the snow topped mountains.,A woman is sitting in her backyard.,contradiction,contradiction,contradiction,contradiction
274,neutral,A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,An angry military veteran watches as people protest the war.,entailment,contradiction,entailment,neutral
2473,entailment,A guy gettin lots of air on a skateboard at a skatepark,A guy riding a skateboard.,entailment,contradiction,entailment,neutral
5489,neutral,A couple walking their dog.,A couple is walking their dog to the park.,entailment,entailment,entailment,neutral
4771,contradiction,A clown performs in a park among other people.,A killer seeks prey.,neutral,contradiction,neutral,neutral
2107,entailment,A group of people in black outfits drinking beer.,People drink a beverage.,entailment,contradiction,entailment,neutral
7500,entailment,A guy in a red jacket is snowboarding in midair.,A guy is outside in the snow,entailment,contradiction,entailment,neutral
4414,neutral,"Three children and adults in the background, all pretend to sleep.",The children are playing a bedtime game with their parents.,entailment,contradiction,entailment,neutral
8138,neutral,Three people are standing on a lit stage while groups of people sitting at tables face them.,The people are in a play.,entailment,contradiction,entailment,neutral
8660,contradiction,"The dog is in snow, and has a stick in its mouth.",The dog is sleeping on the couch.,contradiction,contradiction,neutral,contradiction
8239,neutral,Two women bend over to touch a small kangaroo.,The kangaroo wants to leave,contradiction,contradiction,neutral,neutral
2417,contradiction,A woman and a young girl are sitting down and smiling.,The women are standing and frowning.,contradiction,contradiction,contradiction,contradiction
8771,contradiction,The women is photographing statues outdoors on a sunny day.,Two men taking pictures of animals,contradiction,contradiction,neutral,contradiction
2236,neutral,"A young gymnast looks back at the audience, trying to catch a glimpse of her proud parents before starting her performance.",A gymnast nervously scans a crowd for her parents before performing the routine that will reveal she hadn't been attending her lessons.,contradiction,contradiction,contradiction,neutral
3767,neutral,"Two girls in winter jackets, knit hats, and glvoes are outside in the snow.",The girls are building a snowman.,neutral,contradiction,entailment,neutral
9791,contradiction,A man with a half mask over his face is holding a toy helicopter in his left hand and a controller in is his right hand.,The man has nothing on his face.,contradiction,contradiction,contradiction,neutral
9989,contradiction,A man wearing glasses and a ragged costume is playing a Jaguar electric guitar and singing with the accompaniment of a drummer.,Two men are playing frisbee in the park.,contradiction,contradiction,neutral,neutral
9965,contradiction,A group of girls jumping over another girl who is laying on the floor.,A gorup of girl is laying down.,contradiction,contradiction,contradiction,contradiction
7323,neutral,Four young boys flexing for the camera.,They are friends,neutral,contradiction,neutral,neutral
1383,neutral,A man with a beard is playing an acoustic guitar on the street.,The man tries to make some money from tips.,neutral,contradiction,entailment,neutral
3101,neutral,"A man in a tie-dyed shirt and jeans is sitting on a bench with a dog and a guitar on his lap, as well as a harmonica near his mouth.",The street performer takes a break.,entailment,contradiction,entailment,neutral
3921,entailment,A woman in white climbs up a metal structure.,A woman is being athletic.,neutral,contradiction,neutral,neutral
6685,neutral,Three people are riding a carriage pulled by four horses.,The horses are scrawny.,neutral,contradiction,neutral,neutral
3194,neutral,A gray rally car is being driven by two adult males while a large white container is tied down on top of the roof.,The men hope the container won't fly off the roof.,entailment,contradiction,neutral,neutral
1941,contradiction,The guy in the black jacket is standing on his hand on a checkered rectangle.,The husband mows the lawn.,neutral,contradiction,neutral,contradiction
7713,entailment,"People walk outside ""The Tempe Bar"".",People move around outside.,entailment,contradiction,entailment,neutral
4896,entailment,Two men stand near a piece of large machinery.,The machinery is very large,entailment,contradiction,neutral,neutral
4782,entailment,A man is making a phone call.,A man is on the phone.,entailment,entailment,entailment,entailment
1496,contradiction,A shirtless man with a white hat and no shoes sitting crisscross with his back against the wall holding up a white plastic cup.,A woman is walking,contradiction,contradiction,neutral,neutral
1957,contradiction,A man is riding a bicycle in the street.,a man is suntanning on a cave,contradiction,contradiction,neutral,contradiction
9171,contradiction,She is cooking food while wearing a dress.,A woman in a dress dances in the club.,contradiction,contradiction,neutral,contradiction
9745,contradiction,"A group walking in the middle of a walkway with a green divider, and a woman is walking by herself off to the right.",The group is eating lunch at a small cafe.,neutral,contradiction,neutral,neutral
7332,neutral,A little boy and his father talking to a man dressed as Santa Claws.,A boy and his father discuss Christmas with Santa Claus,entailment,contradiction,entailment,neutral
7949,neutral,A large group of people gather at a piano bar.,A group of men at a piano bar,neutral,contradiction,neutral,neutral
3017,contradiction,An older man wearing stars and stripes rides a bike.,The man is dancing under the stars.,contradiction,contradiction,neutral,neutral
6746,contradiction,A man is standing in the doorway of a building.,A woman is standing in the doorway of a building.,neutral,contradiction,neutral,contradiction
513,entailment,A homeless man pushes an overfilled plastic blue shopping cart.,A man has a shopping cart,entailment,contradiction,entailment,neutral
3934,entailment,Older man wearing dark blue clothing sweeping the ground and a person wearing a red coat and carrying a green bag entering the building.,An older man is outdoors,entailment,contradiction,entailment,neutral
3025,entailment,An adventurous man navigates through the jungle with a long stick.,There is a person outside.,entailment,contradiction,neutral,neutral
1199,contradiction,"A man stands speaking to a crowd of sitting people, all wearing business attire.",A boy is riding a wave on his surfboard.,contradiction,contradiction,neutral,contradiction
5028,neutral,An African person standing in a wheat field.,A person standing in a wheat field of his boss.,neutral,contradiction,neutral,neutral
9784,entailment,A man dressed in a red shirt and black tie stands up at a wedding reception to make a speech.,a guy in a red top and tie makes a speech,entailment,neutral,entailment,neutral
921,neutral,A group of people look at fresh lettuce in at the local street market.,"A group of men, and women look at fresh romaine lettuce in at the local street market.",entailment,contradiction,entailment,neutral
4649,contradiction,"Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right.",Runners are sleeping,contradiction,contradiction,contradiction,contradiction
5332,entailment,A man in a blue shirt was arguing with a man in a green jacket and started to raise his fist in anger.,a man argues with another who is making threatening jeastures,entailment,contradiction,neutral,neutral
1076,neutral,"A man, wearing a white hate and sunglasses, is sitting in a white truck that says ""Coast Gas"".",A man is sitting on a truck at a gas station.,entailment,contradiction,entailment,neutral
6768,entailment,A lady and a man in a hat watch baseball from the stands.,"Two people, one with a hat, can see baseball from where they are.",entailment,contradiction,entailment,neutral
9410,entailment,A skateboard is grinding on a curb with his skateboard.,The skateboard is grinding.,entailment,contradiction,entailment,entailment
1671,entailment,An Asian young woman wearing a white shirt and black pants is holding a pink purse.,The woman has a white shirt on.,entailment,contradiction,entailment,entailment
474,neutral,A crowded city street with lots of pedestrians.,There alot of motorcyclists on this road.,contradiction,contradiction,neutral,neutral
9186,neutral,Two children play in the snow by the side of the road.,Kids are enjoying the cold weather.,entailment,entailment,entailment,neutral
8839,contradiction,Sexy young men stand on a balcony having a heated conversation.,The young men are in complete agreement.,contradiction,contradiction,contradiction,neutral
5758,contradiction,Young child standing on a snow pile in a city.,the man is at home sleeping,contradiction,contradiction,contradiction,neutral
6297,entailment,A happy woman quite stands in front of a business that displays a closed sign and looks very animated.,A woman happily stands by a bussiness showing a closed sign and looks very colorful.,neutral,contradiction,neutral,neutral
2478,neutral,Some elderly people are playing instruments in a park.,The old man is playing the guitar.,neutral,contradiction,neutral,neutral
5493,entailment,Two women and a little girl are resting with food and drink near a log in a grassy field under flowering trees.,3 girls are resting,neutral,entailment,neutral,neutral
3914,entailment,Four kids pose on a stage.,Several children are posing on a stage.,entailment,contradiction,neutral,neutral
2138,neutral,A man is standing on his tip toes in front of two people sitting in the car.,A short man stands on his tip toes in front of two people.,entailment,contradiction,entailment,neutral
5454,contradiction,A brunette woman holding a little girl dressed in pink is kneeling next to a grazing white and brown llama in the foreground of a hilly community.,A man talks to another.,neutral,contradiction,neutral,neutral
5379,entailment,A crowd of people fill the street in front of a McDonald's.,There is a crowd outside the restaurant.,entailment,contradiction,entailment,neutral
8985,contradiction,A woman with a blue shirt and colorful hair has just thrown the bowling ball.,A women is sleeping.,contradiction,contradiction,contradiction,contradiction
4023,neutral,people are sitting on a bench in front of buildings.,Two coworkers eat lunch on a bench outside of their building.,neutral,contradiction,entailment,neutral
3485,contradiction,A young woman in a black skirt and boots walks by stores.,A young woman is eating in a fine restaurant.,contradiction,contradiction,neutral,contradiction
2455,contradiction,A woman attends to her laundry in a laundromat.,Nobody is doing laundry at the laundromat.,contradiction,contradiction,contradiction,contradiction
2464,neutral,The children play in the pool.,The children are playing Marco Polo.,neutral,contradiction,neutral,neutral
8696,entailment,"A male singer, dressed in a long purple pea coat, holding an electric guitar, singing into a microphone, while a male in sunglasses and wearing headphones, plays drums, with purple drapery hanging in the background.",a singer in a pea coat,entailment,contradiction,entailment,neutral
1369,neutral,An old man talks to a street performer wearing makeup with a pet monkey.,The man talks to his son the clown.,neutral,contradiction,neutral,neutral
6688,neutral,Black and yellow teams are trying to get the basketball in the goal.,The two teams are both wearing white sneakers.,neutral,contradiction,neutral,neutral
7456,neutral,A boy in a blue shirt plays in a jumping tent.,Kid celebrates at a birthday party,entailment,contradiction,entailment,neutral
9974,contradiction,Two men in orange uniforms stand before a train and do some work.,Nobody is working,contradiction,contradiction,contradiction,neutral
1901,entailment,An older gentleman wearing a hat is walking on crutches next to a busy street.,An man on crutches is outside.,entailment,contradiction,entailment,neutral
4871,entailment,The Man is outside on the beach walking his dog.,There is sand in the ground.,entailment,contradiction,entailment,neutral
4710,entailment,The young man is sitting on a couch smoking a cigarette.,A young man smoking a cigarette,entailment,contradiction,entailment,neutral
7886,neutral,A woman in black walks past a shop selling a t-shirt depicting a tattooed woman smoking a cigarette.,A woman is window shopping for a new outfit.,neutral,contradiction,neutral,neutral
1793,entailment,Some children are playing soccer in front of a large wooden door.,The kids are playing soccer.,entailment,contradiction,entailment,neutral
2874,entailment,Female in a military uniform with her hair tied back.,the female is wearing a ponytail,entailment,contradiction,entailment,neutral
6217,entailment,A group of young band members wearing black perform on instruments including the saxophone and the trombone.,A group of musicians playing,entailment,contradiction,entailment,neutral
5213,neutral,A player on the red soccer team has just scored a goal while the opposing team watches the ball go in.,A soccer player scored a goal in an iternational championship game.,neutral,contradiction,entailment,neutral
2245,contradiction,A child with blond-hair looking out of a screen door.,A child is being held by his mother at the mall.,contradiction,contradiction,neutral,neutral
1741,entailment,A man is steering his ship out at sea.,A man pilots his boat.,entailment,contradiction,entailment,neutral
1020,neutral,A man walking and carrying a notebook.,The man is on his way to class.,neutral,contradiction,neutral,neutral
705,neutral,A variety of people are sitting around a tale doing craft projects.,The people are unique.,neutral,contradiction,neutral,neutral
4294,neutral,"Five People are kneeling between two park cars, and one man is approaching with his arm raised into the air.",A strange ritual is being performed.,neutral,contradiction,neutral,neutral
5576,contradiction,A young woman with brown hair and an elderly man with gray hair and a sweater jump in the air on a snowy hill with snowshoes on their feet.,An old woman and a young man are crossing the street.,contradiction,contradiction,contradiction,contradiction
7166,entailment,Five women with red and black halter tops and red and black miniskirts wearing red and white shoes.,A group of women are dressed alike.,entailment,contradiction,entailment,entailment
8177,entailment,People boating on a lake with the sun through the clouds in the distance.,people on boat,entailment,entailment,entailment,neutral
908,entailment,A black man wearing a red belt and a white man wearing a blue belt are pictured in the act of practicing martial arts inside a building with a woman looking on in the background.,A man is wearing a red belt.,entailment,contradiction,neutral,neutral
5193,entailment,Two women stand in the street both wearing matching outfits with police like jackets that say Polotie.,Two women look like Police in similar jackets standing in the street.,entailment,contradiction,neutral,neutral
3077,neutral,A group of women playing volleyball indoors.,Awoman serves the volleyball.,entailment,contradiction,entailment,neutral
9366,neutral,A man holding girl at top of a slide,A man telling the girl not be scared on top of a silde.,neutral,contradiction,entailment,neutral
594,contradiction,A white duck expanding its wings in the water.,"The duck is a rare breed, most thought to have been driven into extinction years ago.",neutral,contradiction,neutral,neutral
5304,neutral,"two shirtless men jumping over a street rail, probably practicing new dance moves.",Two naked men are practicing dance moves on the street.,contradiction,contradiction,contradiction,neutral
440,contradiction,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A woman is flying crosscountry.,contradiction,contradiction,neutral,neutral
7606,neutral,A woman taking candy off of a shelf and putting it in a box.,A woman packages candy for a friend,entailment,entailment,entailment,neutral
4092,entailment,"A woman wearing an elaborate array of feathers in her hair, a bead necklace, a medallion, and an aqua, brown, and olive-green dress and looks off to her left, smiling slightly.",A woman looks to her left,entailment,contradiction,entailment,neutral
6134,,A young couple thinking about their Christmas decorations.,A young couple is decorating for Christmas.,entailment,contradiction,entailment,neutral
10,entailment,A statue at a museum that no seems to be looking at.,There is a statue that not many people seem to be interested in.,entailment,contradiction,entailment,neutral
3776,neutral,A young boy vocalizes in to a microphone held by a blond woman in black.,A woman teaching a boy to sing.,entailment,contradiction,entailment,neutral
8999,entailment,A woman in a blue jacket dragging a child on a sled through the snow.,There is a child on a sled.,entailment,contradiction,entailment,neutral
3708,neutral,"Two hussars sit perched on horses, dressed in extravagant ceremonial wear, each holding a sabre in their right hand, reigns to the horse in their left.",There are professional riders at a ceremony.,entailment,contradiction,entailment,neutral
3780,neutral,A young girl in a riding outfit is sitting on a horse holding a teddy bear.,The girl is getting riding lessons.,neutral,contradiction,neutral,neutral
93,neutral,People are conversing at a dining table under a canopy.,People at a party are seated for dinner on the lawn.,neutral,contradiction,entailment,neutral
9239,entailment,A woman with a navy sweater is looking through a blue telescope at a statue of a dinosaur.,The woman is using a magnification device,entailment,contradiction,entailment,neutral
3949,contradiction,A young male is running while playing tennis against another person.,An old woman sits on a bench.,contradiction,entailment,neutral,contradiction
5785,neutral,A man with a cigarette sits on the stoop.,A man rolls a cigarette and lights it.,neutral,contradiction,neutral,neutral
4870,contradiction,The Man is outside on the beach walking his dog.,The man and his dog are taking a boat ride.,contradiction,contradiction,neutral,neutral
4802,neutral,Two mountaineers are walking across a snowcapped mountain.,Two mountaineers in a race across a mountain.,neutral,contradiction,neutral,neutral
4867,entailment,People shopping at an outside market,People are outside.,entailment,contradiction,entailment,neutral
292,entailment,The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The American football player in yellow catches the ball while under pressure from the player in white.,entailment,neutral,entailment,neutral
7888,neutral,A couple of newlyweds kissing underneath the bride's veil.,The newlyweds are kissing in a church during the wedding.,entailment,contradiction,entailment,neutral
7405,entailment,There is a green trash truck in road with a person sweeping sidewalk.,A person sweeps.,entailment,contradiction,neutral,neutral
5595,neutral,A man in glasses in a basement.,The man is searching for something in the basement.,entailment,contradiction,neutral,neutral
2886,contradiction,Two young musicians play from a stage.,The stage is empty,contradiction,contradiction,contradiction,neutral
6454,entailment,Naked children play on the muddy riverbank.,THE RIVERBANK WAS PLAYED ON BY NUDITY OF KIDS,entailment,contradiction,entailment,neutral
2542,entailment,A man and a boy behind the wheel of a car.,The little boy and the man sit behind the car's steering wheel.,entailment,entailment,entailment,neutral
1765,contradiction,Kids out in front of a building doing sightseeing.,The kids are in a classroom,contradiction,contradiction,contradiction,neutral
6800,neutral,A man and a woman are holding hands on the shore of a lake.,A couple on vacation.,entailment,entailment,entailment,neutral
1877,neutral,A small boy wearing a blue shirt plays in the kiddie pool.,Boy cooling off during the summer,entailment,contradiction,entailment,neutral
1981,contradiction,A woman with a blue hat and blue and red jacket setting up a camera on a tripod.,A woman with a red hat sets up a camera on a tripod,contradiction,contradiction,neutral,neutral
9729,neutral,A large African American man sitting on a camping chair.,The large black man is relaxing in the chair and waiting for a steak,neutral,contradiction,neutral,neutral
9608,contradiction,A man and his camel in the dusty desert.,the man and his goat in the farm,contradiction,contradiction,neutral,contradiction
2685,contradiction,"Two children are looking through a telescope on a city street, and the boy is using a step ladder to see through the eyeglass.",Two children are looking at a city street through binoculars.,neutral,contradiction,neutral,neutral
8930,entailment,"Two women are in a small kitchen, with a lit up portrait of Mr. T in the background.",They are in the kitchen.,entailment,contradiction,entailment,neutral
3458,entailment,A boy scout with a red cap is looking through a telescope,There is a boy and a telescope.,entailment,contradiction,entailment,neutral
4541,entailment,A man pulling items on a cart.,A man is moving items in a cart.,entailment,entailment,entailment,neutral
2178,entailment,a mass of people looking and moving in the same general direction.,A mass of people moving the same way.,entailment,contradiction,entailment,neutral
4450,entailment,The backs of a woman and her dog as they walk away from the camera with the dog on a red leash and her in a green tank top.,A dog on a red leash walking away.,entailment,contradiction,neutral,neutral
3859,contradiction,An old black man sitting on a couple of grocery crates playing the string guitar during the day.,Every instrument visible is a woodwind.,contradiction,contradiction,contradiction,contradiction
7623,contradiction,"Two beautiful, little girls with dark hair and dark complexions are sitting down eating cupcakes.",Two boys eating cupcakes.,contradiction,contradiction,contradiction,contradiction
